purchase_date,store_location,customer_name,order_items,payment_method,Total_spent,Payment_details
23/02/2021 09:00,Isle of Wight,Morgan Berka,"Large,Hot chocolate,2.9,Large,Chai latte,2.6,Large,Hot chocolate,2.9",CASH,8.4,None
23/02/2021 09:01,Isle of Wight,William Perdomo,"Large,Latte,2.45",CARD,2.45,"discover,6011776257398866"
23/02/2021 09:02,Isle of Wight,Amber Roberts,",Frappes - Coffee,2.75,,Cortado,2.05,,Glass of milk,0.7,,Speciality Tea - Camomile,1.3,,Speciality Tea - Camomile,1.3",CARD,8.1,"discover,6011893765428836"
23/02/2021 09:03,Isle of Wight,Tisha Timmons,",Speciality Tea - Camomile,1.3,,Hot Chocolate,1.4",CASH,2.7,None
23/02/2021 09:04,Isle of Wight,Johnnie Davis,",Flavoured iced latte - Hazelnut,2.75,Large,Espresso,1.8,,Glass of milk,0.7,,Smoothies - Berry Beautiful,2.0",CASH,7.25,None
23/02/2021 09:05,Isle of Wight,Jason Martin,"Regular,Filter coffee,1.5,Large,Flavoured hot chocolate - Caramel,2.9,Large,Flavoured latte - Gingerbread,2.85",CARD,7.25,"americanexpress,347932748275944"
23/02/2021 09:06,Isle of Wight,Jennifer Wade,",Hot Chocolate,1.4,,Speciality Tea - Camomile,1.3,,Speciality Tea - Green,1.3,Large,Americano,2.25,,Flavoured iced latte - Vanilla,2.75",CARD,9,"mastercard,52349866666956610"
23/02/2021 09:07,Isle of Wight,James Jimenez,",Speciality Tea - Green,1.3,,Red Label tea,1.2",CARD,2.5,"americanexpress,355841231591387"
23/02/2021 09:08,Isle of Wight,Esther Craig,"Large,Espresso,1.8,Regular,Flavoured hot chocolate - Vanilla,2.6,,Flavoured iced latte - Vanilla,2.75",CASH,7.15,None
23/02/2021 09:09,Isle of Wight,James Tucker,",Speciality Tea - Green,1.3,,Flavoured iced latte - Vanilla,2.75,Regular,Americano,1.95",CARD,6,"discover,6011658851596584"
23/02/2021 09:10,Isle of Wight,Joshua Trahan,",Hot Chocolate,1.4,Large,Cappuccino,2.45",CASH,3.85,None
23/02/2021 09:11,Isle of Wight,Timothy Hope,",Cortado,2.05,Regular,Latte,2.15,Large,Flavoured latte - Vanilla,2.85,Large,Chai latte,2.6",CARD,9.65,"visa13,4891633226863"
23/02/2021 09:12,Isle of Wight,Milton Mathews,",Frappes - Strawberries & Cream,2.75,,Frappes - Strawberries & Cream,2.75,,Flavoured iced latte - Vanilla,2.75",CARD,8.25,"visa16,4924515776335673"
23/02/2021 09:13,Isle of Wight,Joseph Cheng,",Speciality Tea - English breakfast,1.3",CARD,1.3,"americanexpress,358366644963152"
23/02/2021 09:14,Isle of Wight,Mary Howard,",Cortado,2.05",CASH,2.05,None
23/02/2021 09:15,Isle of Wight,Suzanne Cookerly,",Hot Chocolate,1.4,Large,Filter coffee,1.8,,Speciality Tea - Camomile,1.3,,Speciality Tea - Peppermint,1.3,,Speciality Tea - Darjeeling,1.3",CASH,7.1,None
23/02/2021 09:16,Isle of Wight,Jonathan Lewis,",Iced americano,2.15,,Babyccino,0.0,Large,Flavoured latte - Vanilla,2.85,,Flavoured iced latte - Hazelnut,2.75,,Frappes - Strawberries & Cream,2.75",CARD,10.5,"visa13,4289345283126"
23/02/2021 09:17,Isle of Wight,Roger Walker,"Large,Flavoured latte - Caramel,2.85",CARD,2.85,"visa16,41283441555354710"
23/02/2021 09:18,Isle of Wight,Angela Gunn,",Flavoured iced latte - Caramel,2.75",CARD,2.75,"visa16,4558177766236594"
23/02/2021 09:19,Isle of Wight,Amanda Parkinson,"Large,Flavoured latte - Caramel,2.85,Large,Latte,2.45",CARD,5.3,"visa16,4668669235933261"
23/02/2021 09:20,Isle of Wight,Walter Quivers,",Frappes - Strawberries & Cream,2.75,,Frappes - Strawberries & Cream,2.75,Large,Flavoured latte - Gingerbread,2.85,,Mocha,2.3,Large,Flavoured latte - Gingerbread,2.85",CARD,13.5,"americanexpress,343928666843634"
23/02/2021 09:21,Isle of Wight,Sadie Salas,"Regular,Flavoured latte - Vanilla,2.55,Large,Luxury hot chocolate,2.7,,Speciality Tea - Green,1.3,,Red Label tea,1.2",CASH,7.75,None
23/02/2021 09:22,Isle of Wight,Dolores Woodson,",Hot Chocolate,1.4,Regular,Americano,1.95",CASH,3.35,None
23/02/2021 09:23,Isle of Wight,Veronica Walls,"Large,Latte,2.45",CASH,2.45,None
23/02/2021 09:24,Isle of Wight,Angela Ferrari,"Large,Filter coffee,1.8,Large,Flavoured hot chocolate - Caramel,2.9,Regular,Flavoured hot chocolate - Vanilla,2.6,,Speciality Tea - Camomile,1.3",CASH,8.6,None
